Component,Sub-component,Weight,Primary Material,% Primary Material,Secondary Material,% Secondary Material,Lifespan,Connection Method,Target_Class
Dry-Type Marine Transformer,Secondary Copper Windings,332.24,Copper,86.3,Epoxy Resin,11.6,23.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Sensors and Electronics,21.63,FR4 Composite,45.3,Copper,32.0,14.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,15.69,Aluminum Alloy,83.1,Carbon Steel,11.8,14.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Frame and Clamping Structure,97.48,Carbon Steel,89.3,Stainless Steel,5.4,30.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Magnetic Core,1054.93,Electrical Steel,93.1,Silicon Steel,2.0,28.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,38.52,Copper,73.9,Carbon Steel,16.2,21.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,15.47,Aluminum Alloy,80.7,Carbon Steel,11.4,13.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,40.2,Copper,81.2,Carbon Steel,14.6,21.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Primary Copper Windings,382.93,Copper,91.6,Epoxy Resin,10.9,26.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,286.01,Epoxy Resin,67.9,Polyester Resin,23.7,18.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Sensors and Electronics,21.15,FR4 Composite,46.1,Copper,29.0,10.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,90.24,Carbon Steel,92.7,Stainless Steel,4.9,32.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Secondary Copper Windings,335.33,Cu-ETP Copper,87.9,Epoxy Resin,10.9,20.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,1074.74,Electrical Steel,99.0,Silicon Steel,2.0,26.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Secondary Copper Windings,378.36,Copper,86.4,Epoxy Resin,10.6,19.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,37.89,Copper,76.0,Carbon Steel,15.5,21.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Sensors and Electronics,20.44,PC/ABS Blend,44.0,Copper,27.6,14.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,251.53,Epoxy Resin,74.3,Polyester Resin,21.2,20.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,340.57,Copper,84.1,Epoxy Resin,10.1,26.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,1054.56,Electrical Steel,96.3,Silicon Steel,2.0,29.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Frame and Clamping Structure,94.06,Carbon Steel,87.3,Stainless Steel,4.8,29.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,16.4,Aluminum Alloy,78.0,Carbon Steel,11.8,13.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Primary Copper Windings,352.5,Copper,88.9,Epoxy Resin,10.0,23.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,270.51,Epoxy Resin,70.6,Polyester Resin,20.7,17.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,39.9,Copper,81.8,Carbon Steel,14.6,23.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Secondary Copper Windings,338.2,Copper,84.2,Epoxy Resin,10.3,23.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Sensors and Electronics,23.44,FR4 Composite,45.8,Copper,28.3,12.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,1080.57,Electrical Steel,99.0,Silicon Steel,2.0,31.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Frame and Clamping Structure,96.69,Carbon Steel,93.4,Stainless Steel,5.3,26.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,15.27,6101 Aluminum,79.0,Carbon Steel,12.6,14.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Frame and Clamping Structure,99.73,Carbon Steel,87.3,Stainless Steel,5.3,31.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,15.88,Aluminum Alloy,79.6,Carbon Steel,12.1,17.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Sensors and Electronics,21.06,FR4 Composite,46.7,Copper,30.8,12.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,388.74,Copper,83.4,Epoxy Resin,9.3,23.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,983.98,Electrical Steel,98.1,Silicon Steel,1.9,29.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Secondary Copper Windings,350.85,Copper,87.2,Epoxy Resin,10.3,20.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,40.42,Copper,76.5,Carbon Steel,15.3,21.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Cast-Resin Insulation,257.95,Silicone Resin,70.4,Polyester Resin,21.6,23.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Secondary Copper Windings,366.84,Copper,89.1,Epoxy Resin,10.8,26.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,40.62,Copper,76.8,Carbon Steel,15.8,21.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Primary Copper Windings,361.9,Copper,90.5,Epoxy Resin,10.3,26.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,14.04,Aluminum Alloy,78.7,Carbon Steel,11.7,13.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Magnetic Core,968.24,Electrical Steel,97.8,Silicon Steel,1.9,25.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Frame and Clamping Structure,99.46,Carbon Steel,87.6,Stainless Steel,5.2,35.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cast-Resin Insulation,274.73,FR4 Composite,70.6,Polyester Resin,22.5,17.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Sensors and Electronics,24.13,FR4 Composite,46.0,Copper,30.7,13.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Sensors and Electronics,20.62,FR4 Composite,46.5,Copper,28.6,14.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,1045.46,Electrical Steel,99.0,Silicon Steel,1.9,31.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Frame and Clamping Structure,95.04,Carbon Steel,95.0,Stainless Steel,5.3,29.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cast-Resin Insulation,288.13,Epoxy Resin,69.4,Polyester Resin,22.4,16.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,39.77,Copper,76.8,Carbon Steel,16.2,20.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Primary Copper Windings,356.35,Copper,83.6,Epoxy Resin,9.4,25.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,15.95,Aluminum Alloy,76.1,Carbon Steel,12.9,17.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Secondary Copper Windings,350.93,Copper,86.1,Epoxy Resin,10.8,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,286.03,Epoxy Resin,68.9,Polyester Resin,21.2,22.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,324.38,Copper,90.2,Epoxy Resin,9.9,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,39.9,Copper,81.1,Carbon Steel,15.1,20.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,13.64,Aluminum Alloy,78.0,Carbon Steel,11.6,15.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Sensors and Electronics,24.14,FR4 Composite,44.8,Copper,27.9,12.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Secondary Copper Windings,324.11,Cu-ETP Copper,90.9,Epoxy Resin,10.6,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,95.31,Carbon Steel,88.5,Stainless Steel,5.2,28.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Magnetic Core,1021.09,Electrical Steel,98.5,Silicon Steel,2.1,24.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Sensors and Electronics,22.83,FR4 Composite,42.7,Copper,28.6,10.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,93.04,Carbon Steel,94.8,Stainless Steel,4.7,28.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Primary Copper Windings,394.62,Copper,91.5,Epoxy Resin,10.3,25.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,41.71,Copper,74.6,Carbon Steel,15.6,16.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,14.45,Aluminum Alloy,82.8,Carbon Steel,12.8,14.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Secondary Copper Windings,326.64,Copper,90.3,Epoxy Resin,10.9,23.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,277.57,Epoxy Resin,75.1,Polyester Resin,20.2,18.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,1011.39,Electrical Steel,97.3,Silicon Steel,2.0,35.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Sensors and Electronics,22.54,FR4 Composite,46.2,Copper,27.7,14.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,277.82,Epoxy Resin,70.5,Polyester Resin,20.3,18.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,14.55,Aluminum Alloy,79.3,Carbon Steel,12.4,12.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Primary Copper Windings,343.77,Copper,86.4,Epoxy Resin,10.9,30.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,1000.48,Electrical Steel,93.0,Silicon Steel,2.0,34.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,38.9,Copper,82.2,Carbon Steel,14.0,22.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Frame and Clamping Structure,93.17,Fabricated Steel,87.6,Stainless Steel,5.1,35.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Secondary Copper Windings,350.78,Cu-ETP Copper,90.6,Epoxy Resin,11.9,24.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Sensors and Electronics,21.99,FR4 Composite,42.9,Copper,31.3,11.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,267.39,Epoxy Resin,69.9,Polyester Resin,21.1,24.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,89.98,Carbon Steel,96.6,Stainless Steel,5.0,34.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,34.55,Copper,81.7,Carbon Steel,14.9,21.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Primary Copper Windings,328.68,Copper,86.1,Epoxy Resin,9.7,25.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Secondary Copper Windings,390.77,Copper,90.7,Epoxy Resin,11.4,23.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,977.3,Electrical Steel,98.1,Silicon Steel,1.9,26.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,14.61,Aluminum Alloy,75.5,Carbon Steel,12.1,17.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Magnetic Core,959.13,Electrical Steel,99.0,Silicon Steel,2.1,35.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,36.7,Copper,77.5,Carbon Steel,15.5,23.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Cast-Resin Insulation,292.66,Epoxy Resin,73.2,Polyester Resin,20.7,19.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,13.96,Aluminum Alloy,75.7,Carbon Steel,11.2,13.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Secondary Copper Windings,391.75,Copper,89.2,Epoxy Resin,10.7,25.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Sensors and Electronics,22.27,FR4 Composite,43.7,Copper,30.7,10.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,336.14,Copper,88.4,Epoxy Resin,10.0,29.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,96.4,Carbon Steel,93.8,Stainless Steel,5.2,34.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,15.42,Aluminum Alloy,82.6,Carbon Steel,11.8,15.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,37.86,Copper,76.0,Carbon Steel,16.2,22.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Cast-Resin Insulation,248.61,Epoxy Resin,70.2,Polyester Resin,20.3,20.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Secondary Copper Windings,346.51,Copper,83.9,Epoxy Resin,11.2,24.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Sensors and Electronics,20.05,FR4 Composite,46.9,Copper,32.6,11.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,91.91,Carbon Steel,90.0,Stainless Steel,5.0,27.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Primary Copper Windings,368.31,Copper,85.8,Epoxy Resin,9.8,22.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,1031.09,Electrical Steel,94.0,Silicon Steel,1.9,28.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,14.15,6101 Aluminum,78.0,Carbon Steel,13.0,14.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Magnetic Core,1044.64,High-Grade Silicon Steel,96.9,Silicon Steel,2.1,27.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,39.9,Cu-ETP Copper,79.4,Carbon Steel,16.0,22.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Frame and Clamping Structure,90.94,Carbon Steel,90.9,Stainless Steel,5.1,31.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Primary Copper Windings,395.21,Tinned Copper,88.3,Epoxy Resin,9.6,27.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Sensors and Electronics,23.56,FR4 Composite,47.6,Copper,29.4,11.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Secondary Copper Windings,360.66,Copper,89.7,Epoxy Resin,10.4,22.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,270.94,Silicone Resin,71.5,Polyester Resin,23.2,17.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,14.97,Aluminum Alloy,80.1,Carbon Steel,12.0,15.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Sensors and Electronics,19.94,FR4 Composite,42.4,Copper,29.1,12.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,96.72,Carbon Steel,96.4,Stainless Steel,5.3,31.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Magnetic Core,1031.21,Electrical Steel,99.0,Silicon Steel,2.2,27.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Secondary Copper Windings,368.62,Tinned Copper,82.2,Epoxy Resin,11.3,25.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,392.27,Copper,89.9,Epoxy Resin,9.2,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,255.61,FR4 Composite,67.4,Polyester Resin,21.7,20.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,39.9,Copper,77.7,Carbon Steel,15.9,22.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Primary Copper Windings,372.66,Copper,88.3,Epoxy Resin,10.1,29.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,14.95,Aluminum Alloy,82.9,Carbon Steel,11.5,18.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Sensors and Electronics,24.55,FR4 Composite,43.9,Copper,32.4,13.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,269.02,Epoxy Resin,73.6,Polyester Resin,22.0,20.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,38.61,Copper,80.1,Carbon Steel,14.4,20.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Frame and Clamping Structure,98.63,Carbon Steel,90.8,Stainless Steel,4.9,26.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Secondary Copper Windings,342.46,Cu-ETP Copper,87.6,Epoxy Resin,10.9,22.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,1048.01,Electrical Steel,98.5,Silicon Steel,2.2,26.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Magnetic Core,1045.87,High-Grade Silicon Steel,94.4,Silicon Steel,2.0,26.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Frame and Clamping Structure,97.03,Carbon Steel,97.3,Stainless Steel,4.7,35.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Sensors and Electronics,20.88,FR4 Composite,45.8,Copper,31.4,11.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Secondary Copper Windings,377.19,Cu-ETP Copper,90.4,Epoxy Resin,10.5,25.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,41.63,Cu-ETP Copper,79.3,Carbon Steel,15.9,16.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Primary Copper Windings,377.93,Copper,91.0,Epoxy Resin,9.4,29.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,15.31,Aluminum Alloy,75.6,Carbon Steel,11.6,18.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Cast-Resin Insulation,271.18,Epoxy Resin,71.6,Polyester Resin,22.6,23.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,97.91,Carbon Steel,94.6,Stainless Steel,5.1,24.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Primary Copper Windings,337.91,Copper,85.8,Epoxy Resin,10.3,26.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,995.43,Electrical Steel,96.9,Silicon Steel,2.0,29.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cast-Resin Insulation,291.18,Epoxy Resin,76.2,Polyester Resin,21.9,16.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Secondary Copper Windings,347.73,Copper,86.4,Epoxy Resin,10.5,23.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,35.8,Copper,75.8,Carbon Steel,14.6,21.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,16.27,Aluminum Alloy,76.7,Carbon Steel,12.4,17.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Sensors and Electronics,24.33,FR4 Composite,46.0,Copper,30.7,11.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,95.5,Carbon Steel,92.5,Stainless Steel,5.0,32.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Magnetic Core,1073.28,Electrical Steel,95.0,Silicon Steel,2.1,25.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Secondary Copper Windings,364.62,Copper,89.1,Epoxy Resin,10.2,18.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,35.07,Copper,78.1,Carbon Steel,15.2,19.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Sensors and Electronics,22.44,FR4 Composite,42.9,Copper,28.4,10.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,15.04,Aluminum Alloy,83.0,Carbon Steel,11.9,15.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Primary Copper Windings,325.57,Tinned Copper,87.5,Epoxy Resin,9.7,23.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,262.44,Silicone Resin,70.5,Polyester Resin,20.2,17.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,15.44,Aluminum Alloy,82.6,Carbon Steel,13.0,15.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Sensors and Electronics,24.15,FR4 Composite,44.4,Copper,32.0,11.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,1041.92,Electrical Steel,99.0,Silicon Steel,2.0,28.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Secondary Copper Windings,376.41,Copper,87.4,Epoxy Resin,11.1,20.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,375.77,Cu-ETP Copper,94.3,Epoxy Resin,9.9,24.0,Chemically Bonded / Cast,2.0
